,,2022 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Kliff Kingsbury,ARI,17,4,13,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,
Arthur Smith,ATL,17,7,10,0,51,21,30,0,51,21,30,0,,,,,,,,,,
John Harbaugh,BAL,17,10,7,0,273,169,104,0,273,169,104,0,1,0,1,22,12,10,22,12,10,
Sean McDermott,BUF,16,13,3,0,128,84,44,0,128,84,44,0,2,1,1,11,5,6,11,5,6,
Steve Wilks,CAR,12,6,6,0,12,6,6,0,28,9,19,0,,,,,,,,,,Interim coach after week 5
Matt Rhule,CAR,5,1,4,0,38,11,27,0,38,11,27,0,,,,,,,,,,Fired after week 5
Matt Eberflus,CHI,17,3,14,0,46,14,32,0,46,14,32,0,,,,,,,,,,
Zac Taylor,CIN,16,12,4,0,96,43,52,1,96,43,52,1,3,2,1,7,5,2,7,5,2,
Kevin Stefanski,CLE,17,7,10,0,81,40,41,0,81,40,41,0,,,,3,1,2,3,1,2,
Mike McCarthy,DAL,17,12,5,0,81,48,33,0,285,173,110,2,2,1,1,4,1,3,22,11,11,
Nathaniel Hackett,DEN,15,4,11,0,15,4,11,0,15,4,11,0,,,,,,,,,,Fired after week 16
Jerry Rosburg,DEN,2,1,1,0,2,1,1,0,2,1,1,0,,,,,,,,,,Interim coach after week 16
Dan Campbell,DET,17,9,8,0,65,36,28,1,77,41,35,1,,,,3,2,1,3,2,1,
Matt LaFleur,GNB,17,8,9,0,97,66,31,0,97,66,31,0,,,,7,3,4,7,3,4,
Lovie Smith,HOU,17,3,13,1,17,3,13,1,193,92,100,1,,,,,,,6,3,3,
Frank Reich,IND,9,3,5,1,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,Fired after week 9
Jeff Saturday,IND,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,Interim coach after week 9
Doug Pederson,JAX,17,9,8,0,48,21,27,0,128,63,64,1,2,1,1,2,1,1,8,5,3,
Andy Reid,KAN,17,14,3,0,193,141,52,0,417,271,145,1,3,3,0,23,16,7,42,26,16,Super Bowl Champions
Brandon Staley,LAC,17,10,7,0,48,24,24,0,48,24,24,0,1,0,1,1,0,1,1,0,1,
Sean McVay,LAR,17,5,12,0,129,78,51,0,129,78,51,0,,,,11,7,4,11,7,4,
Josh McDaniels,LVR,17,6,11,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,
Mike McDaniel,MIA,17,9,8,0,48,26,22,0,48,26,22,0,1,0,1,2,0,2,2,0,2,
Kevin O'Connell,MIN,17,13,4,0,48,32,16,0,48,32,16,0,1,0,1,1,0,1,1,0,1,
Dennis Allen,NOR,17,7,10,0,43,18,25,0,79,26,53,0,,,,,,,0,0,0,
Bill Belichick,NWE,17,8,9,0,387,266,121,0,467,302,165,0,,,,42,30,12,44,31,13,
Brian Daboll,NYG,17,9,7,1,48,17,30,1,48,17,30,1,2,1,1,2,1,1,2,1,1,
Robert Saleh,NYJ,17,7,10,0,56,20,36,0,56,20,36,0,,,,,,,,,,
Nick Sirianni,PHI,17,14,3,0,65,46,19,0,65,46,19,0,3,2,1,5,2,3,5,2,3,NFC Champions
Mike Tomlin,PIT,17,9,8,0,289,183,104,2,289,183,104,2,,,,18,8,10,18,8,10,
Pete Carroll,SEA,17,9,8,0,227,137,89,1,291,170,120,1,1,0,1,19,10,9,22,11,11,
Kyle Shanahan,SFO,17,13,4,0,129,70,59,0,129,70,59,0,3,2,1,12,8,4,12,8,4,
Todd Bowles,TAM,17,8,9,0,48,25,23,0,115,51,64,0,1,0,1,3,1,2,3,1,2,
Mike Vrabel,TEN,17,7,10,0,99,54,45,0,99,54,45,0,,,,5,2,3,5,2,3,
Ron Rivera,WAS,17,8,8,1,67,26,40,1,207,102,103,2,,,,1,0,1,8,3,5,
